title,author,description,slug
Hacking Secret Cyphers with Python, Al Sweigart, Hacking Secret Ciphers with Python not only teaches you how to write in secret ciphers with paper and pencil., cyphers
Python: The Fundamentals Of Python Programming, Paul Jones, It aims to provide a solid foundation for people who want to start a career in Python Programming., fundamentals
A Whirlwind Tour of Python, Jake VanderPlas, Author Jake VanderPlas explains Python's essential syntax and semantics., whirlwind
Data Structures and Algorithms in Python, B. R. Preiss, Create sound software designs with data structures that use modern object-oriented design patterns!, structures
Extreme Perl, R. Nagier, Extreme Perl is a book about Extreme Programming using the programming language Perl., extreme
Perl for the Web, C. Radcliff, Perl for the Web provides the tools and principles needed to design a high-performance dynamic Web site using Perl., web
The R Inferno, Patrick Burns, An essential guide to the trouble spots and oddities of R., inferno
R Packages, Hadley Wickham, Turn your R code into packages that others can easily download and use., packages
